#id: 3616268379
#name: E.coli str. K-12 substr. MG1655 - Whole organism (Integrated)
#score: 19.7
#coverage: 99
#description: integrated dataset: weighted average of all E.coli str. K-12 substr. MG1655 WHOLE_ORGANISM: 19.7, Coverage: 99
#organ: WHOLE_ORGANISM
#integrated: true
#weights: Escherichia_coli_SC_biomart_29780_E_BTO0000214cellculture_2reps:0.174;ecoli2_resolutionCombination_PRIDE:0.174;ecoli1_HCD_CID_PRIDE:0.077;E_coli_Wisniewski_2014_cpc:0.071;Escherichia_coli_SC_biomart_18119_E__5reps:0.061;Ecoli_Krug_2013:0.054;Ecoli_emPAI_arike_2012:0.054;Ecoli_APEX_arike_2012:0.052;WT-lewis-peptide_count:0.05;Taniguchi_2010_Table_S6:0.048;511145_GPM_201408:0.04;Escherichia_coli_SC_biomart_17112_E__2reps:0.031;Ecoli_Krug_2013_emPAI:0.029;PXD020761_Midha_Sci_Data_2020_Ecoli_DIA-SWATH:0.026;Lu_ecoli_2007:0.02;Ecoli_strainK12_PRIDE:0.017;Ecoli_iBAQ_arike_2012:0.013;Escherichia_coli_SC_biomart_12189_E__2reps:0.01;
#publication_year: 2025
#filename: 511145-WHOLE_ORGANISM-integrated.txt
#
#gene_name	string_external_id	abundance
sdhB	511145.b0724	851
nfsB	511145.b0578	847
deoB	511145.b4383	845
yncE	511145.b1452	843
pykA	511145.b1854	839
clpX	511145.b0438	835
chrR	511145.b3713	833
artI	511145.b0863	828
fklB	511145.b4207	819
serS	511145.b0893	819
hldD	511145.b3619	810
cpxR	511145.b3912	803
uspE	511145.b1333	797
sdhA	511145.b0723	792
ompC	511145.b2215	790
infB	511145.b3168	790
bfr	511145.b3336	789
glyS	511145.b3559	787
ompT	511145.b0565	778
fbaB	511145.b2097	777
rcsB	511145.b2217	773
efp	511145.b4147	771
yihD	511145.b3858	768
leuB	511145.b0073	767
greA	511145.b3181	763
ycaC	511145.b0897	760
aspS	511145.b1866	759
sucA	511145.b0726	757
yoaB	511145.b1809	754
trpS	511145.b3384	750
fabH	511145.b1091	747
pyrC	511145.b1062	747
qorA	511145.b4051	744
proS	511145.b0194	734
grxC	511145.b3610	733
tolB	511145.b0740	732
yfbU	511145.b2294	731
purB	511145.b1131	731
ydhR	511145.b1667	730
pal	511145.b0741	729
ychN	511145.b1219	728
argG	511145.b3172	728
hchA	511145.b1967	727
yhcB	511145.b3233	727
degP	511145.b0161	726
fkpA	511145.b3347	726
msyB	511145.b1051	722
yahK	511145.b0325	721
yegP	511145.b2080	714
purH	511145.b4006	713
ompF	511145.b0929	705
fabZ	511145.b0180	704
purE	511145.b0523	701
potD	511145.b1123	699
carA	511145.b0032	692
yhbY	511145.b3180	692
pgl	511145.b0767	691
gstA	511145.b1635	687
ydfG	511145.b1539	684
grxB	511145.b1064	678
gltX	511145.b2400	678
glpD	511145.b3426	678
ppiA	511145.b3363	671
ppsA	511145.b1702	669
carB	511145.b0033	666
deoC	511145.b4381	666
ydgH	511145.b1604	664
rbfA	511145.b3167	664
cirA	511145.b2155	661
dksA	511145.b0145	657
gstB	511145.b0838	653
aldB	511145.b3588	652
yaiE	511145.b0391	652
atpE	511145.b3737	649
wcaN	511145.b2042	644
cheZ	511145.b1881	637
proQ	511145.b1831	637
rpmI	511145.b1717	635
ygiN	511145.b3029	634
modA	511145.b0763	634
tktB	511145.b2465	633
ydcS	511145.b1440	633
slp	511145.b3506	629
pheS	511145.b1714	627
pspE	511145.b1308	626
alaS	511145.b2697	626
maeB	511145.b2463	621
tar	511145.b1886	619
ydcH	511145.b1426	618
leuD	511145.b0071	616
gatD	511145.b2091	615
nadE	511145.b1740	613
glpQ	511145.b2239	613
ivy	511145.b0220	613
leuS	511145.b0642	612
ettA	511145.b4391	611
accD	511145.b2316	611
hisG	511145.b2019	610
pepB	511145.b2523	609
moaB	511145.b0782	608
yggE	511145.b2922	607
leuC	511145.b0072	607
purM	511145.b2499	603
zwf	511145.b1852	603
entB	511145.b0595	603
can	511145.b0126	603
cydB	511145.b0734	598
patD	511145.b1444	598
thrA	511145.b0002	592
mlaC	511145.b3192	590
surA	511145.b0053	588
metJ	511145.b3938	584
ybbN	511145.b0492	575
ldtB	511145.b0819	573
rpoD	511145.b3067	571
gpmM	511145.b3612	570
yebV	511145.b1836	564
typA	511145.b3871	564
trxB	511145.b0888	562
ygfZ	511145.b2898	562
zinT	511145.b1973	557
glmM	511145.b3176	556
fur	511145.b0683	556
rpe	511145.b3386	554
galM	511145.b0756	554
sseA	511145.b2521	553
phoP	511145.b1130	552
slyA	511145.b1642	548
galU	511145.b1236	548
glnS	511145.b0680	546
pgm	511145.b0688	544
iscR	511145.b2531	543
yjeI	511145.b4144	542
prmB	511145.b2330	540
fis	511145.b3261	539
ydcL	511145.b1431	539
ileS	511145.b0026	538
yebC	511145.b1864	535
hslU	511145.b3931	534
pheT	511145.b1713	530
asnA	511145.b3744	529
accB	511145.b3255	527
ompR	511145.b3405	524
pntB	511145.b1602	523
ybaY	511145.b0453	522
hemL	511145.b0154	521
iraP	511145.b0382	520
elbB	511145.b3209	520
livK	511145.b3458	519
panC	511145.b0133	519
lysU	511145.b4129	518
glmS	511145.b3729	514
hisS	511145.b2514	512
ahpF	511145.b0606	512
cysP	511145.b2425	510
gcvH	511145.b2904	510
ssb	511145.b4059	509
ptsG	511145.b1101	508
pyrG	511145.b2780	508
fumC	511145.b1611	508
prfB	511145.b2891	502
dapA	511145.b2478	501
tyrS	511145.b1637	498
cheY	511145.b1882	491
ydfZ	511145.b1541	489
yceH	511145.b1067	487
ftsH	511145.b3178	487
gltD	511145.b3213	483
ycfP	511145.b1108	482
ghrB	511145.b3553	482
bamE	511145.b2617	481
yibN	511145.b3611	481
cspD	511145.b0880	481
accC	511145.b3256	479
purL	511145.b2557	478
metG	511145.b2114	477
gyrA	511145.b2231	476
yeiP	511145.b2171	476
pstS	511145.b3728	474
dkgA	511145.b3012	473
katE	511145.b1732	471
rraA	511145.b3929	467
yjdM	511145.b4108	466
lon	511145.b0439	465
galT	511145.b0758	463
nrdA	511145.b2234	460
valS	511145.b4258	460
fdx	511145.b2525	460
opgG	511145.b1048	459
yciN	511145.b1273	459
agp	511145.b1002	457
spy	511145.b1743	457
ybeL	511145.b0643	455
cdd	511145.b2143	454
purD	511145.b4005	454
hdhA	511145.b1619	452
ycaR	511145.b0917	451
ydjA	511145.b1765	446
ndh	511145.b1109	443
lsrB	511145.b1516	442
ilvH	511145.b0078	441
yqiC	511145.b3042	439
yccU	511145.b0965	436
yjgA	511145.b4234	434
gltB	511145.b3212	434
fabF	511145.b1095	433
narL	511145.b1221	431
asnB	511145.b0674	431
